Rat_symbol	ISG
Rccd1	0
Unc45a	0
Hddc3	0
Man2a2	0
Fes	0
Furin	0
Blm	0
Crtc3	0
Iqgap1	0
Zscan2	0
Wdr73	0
Nmb	0
Sec11a	0
Zfp592	0
Alpk3	0
Slc28a1	0
Pde8a	0
Rps17	0
Cpeb1	0
LOC100360933	0
Fsd2	0
Whamm	0
Homer2	0
Ramac	0
Btbd1	0
Tm6sf1	0
Hdgfl3	0
Bnc1	0
Sh3gl3	0
Adamtsl3	0
Saxo2	0
Efl1	0
Tmc3	0
Stard5	0
Il16	0
Cfap161	0
Tlnrd1	0
Mesd	0
Cemip	0
Abhd17c	0
Arnt2	0
Fah	0
Zfand6	0
LOC100366231	0
AABR07004539.1	0
AABR07004560.1	0
Cyp2c6v1	0
Cyp2c7	0
Olr227	0
Vom2r43	0
Olr12	0
Olr14	0
Olr17	0
Olr16	0
Olr13	0
Olr19	0
Olr20	0
Olr23	0
Olr24	0
Olr25	0
Olr27	0
Olr30	0
Olr32	0
Olr34	0
Folh1	0
AABR07004684.1	0
Nox4	0
Tyr	0
Grm5	0
Rab38	0
Tmem135	0
Fzd4	0
Prss23	0
Me3	0
Ccdc81	0
AABR07004746.1	0
Hikeshi	0
Eed	0
Picalm	0
Ccdc83	0
Sytl2	0
LOC100911776	0
Tmem126b	0
Tmem126a	0
Crebzf	0
Ccdc89	0
Dlg2	0
Ccdc90b	0
Ankrd42	0
Pcf11	0
Rab30	0
Ddias	0
Prcp	0
Fam181b	0
Tenm4	0
Nars2	0
Gab2	0
Usp35	0
Kctd21	0
Alg8	0
Ndufc2	0
Thrsp	0
Kctd14	0
Ints4	0
Aamdc	0
Rsf1	0
Clns1a	0
Aqp11	0
Pak1	0
Gdpd4	0
Myo7a	0
Capn5	0
B3gnt6	0
Tsku	0
Gucy2e	0
Lrrc32	0
Emsy	0
Thap12	0
Wnt11	0
RGD1561870	0
Uvrag	0
Mogat2	0
Map6	0
Serpinh1	0
Gdpd5	0
Klhl35	0
Rps3	0
Arrb1	0
Tpbgl	0
Slco2b1	0
Olr35	0
Olr36	0
Neu3	0
Spcs2	0
Xrra1	0
Rnf169	0
Chrdl2	0
Pold3	0
Lipt2	0
Pgm2l1	0
P4ha3	0
Ppme1	0
C2cd3	0
Ucp3	0
Ucp2	0
Dnajb13	0
Coa4	0
Mrpl48	0
Rab6a	0
Plekhb1	0
Fam168a	0
Relt	0
Arhgef17	0
P2ry6	0
P2ry2	0
Atg16l2	0
Stard10	0
Arap1	0
Pde2a	0
Art2b	0
Clpb	0
Phox2a	0
Inppl1	0
Folr2	0
Folr1	0
Anapc15	0
Lrtomt	0
Lamtor1	0
Lrrc51	0
Numa1	0
Rnf121	0
Art5	0
Art1	0
Chrna10	0
Nup98	0
Pgap2	0
Rhog	0
Stim1	0
Rrm1	0
Olr39	0
Olr40	0
Olr41	0
Trim21	0
Olr43	0
Olr44	0
Olr45	0
AC098008.1	0
Olr47	0
Olr48	0
LOC684171	0
LOC684179	0
Trim68	0
LOC684208	0
Olr63	0
Olr62	0
Olr61	0
Olr60	0
Olr59	0
Olr57	0
Olr56	0
LOC684170	0
LOC100912515	0
Olr49	0
LOC684376	0
Olfr574	0
Olr67	0
Olr68	0
Olr69	0
Olr70	0
Olr72	0
Olr74	0
Olr75	0
Olr77	0
Olr78	0
Olr79	0
Olr80	0
Olr81	0
Olr82	0
Olr84	0
Olr85	0
Olr87	0
Olr88	0
Olr89	0
Olr91	0
Olr92	0
Olr93	0
Olr95	0
Olr96	0
Olr97	0
Olr98	0
Olr101	0
Olr103	0
Olr104	0
Olr106	0
Olr107	0
Olr108	0
Olr109	0
Olr110	0
Olr113	0
Olr114	0
Olr115	0
Olr119	0
Olr120	0
Olr121	0
Olr122	0
AC107531.1	0
Olr126	0
Olr127	0
Hbb-bs	0
LOC100134871	0
Hbb	0
Hbg1	0
Hbe2	0
Hbe1	0
Olr129	0
Olr130	0
Olr131	0
Olr132	0
Olr135	0
Olr136	0
Olr137	0
Olr139	0
Olr140	0
Olr142	0
Olr143	0
Olr144	0
Olr145	0
Olr148	0
RGD1562433	0
Ubqln3	0
Ubqlnl	0
RGD1310717	0
Olr149	0
Olr150	0
Trim6	0
Trim34	0
Trim5	0
Trim30c	0
Olr152	0
Olr153	0
Olr154	0
Olr155	0
Olr156	0
Olr158	0
Olr159	0
Olr160	0
Olr161	0
Olr162	0
LOC100910107	0
Olr164	0
Olr165	0
Olr167	0
Olr179	0
Olr180	0
Olr181	0
Olr183	0
Olr184	0
Olr185	0
Olr186	0
Olr188	0
Olr189	0
Olr190	0
AC107331.1	0
Olr193	0
Olr194	0
Olr196	0
Olr198	0
Olr199	0
Olr200	0
Olr201	0
Olr202	0
LOC686660	0
RGD1561034	0
Cnga4	0
Cckbr	0
Cavin3	0
Smpd1	0
Apbb1	0
Hpx	0
Trim3	0
Arfip2	0
Timm10b	0
Dnhd1	0
Rrp8	0
Ilk	0
Taf10	0
Tpp1	0
Dchs1	0
Mrpl17	0
Olr208	0
Olr209	0
Olr210	0
Olr211	0
Olr213	0
Olr214	0
Olr215	0
Olr217	0
Olr218	0
Olr219	0
Olr221	0
Olr222	0
Olr223	0
Olr224	0
Olr226	0
Olr229	0
Olr230	0
Olr231	0
Olr232	0
Olr233	0
Olr234	0
Nlrp14	0
Syt9	0
Olfml1	0
Ppfibp2	0
Cyb5r2	0
