group	SYMBOL.Mm	Species
Colon	Cald1	Rat
Brain	Serpini1	Rat
Brain	Cldn11	Rat
Ileum	Lcp1	Rat
Stomach	Ghrl	Rat
Brain	Rcan2	Rat
Heart	Rcan2	Rat
Brain	Syn1	Rat
Kidney	Gm6614	Rat
Pancreas	Cel	Rat
Kidney	Slc34a3	Rat
Esophagus	Cpa4	Rat
Liver	Serpina3n	Rat
Stomach	Plau	Rat
Kidney	Plau	Rat
Liver	Cyp39a1	Rat
Esophagus	Cysrt1	Rat
Brain	Rnf208	Rat
Heart	Acsl1	Rat
Liver	Acsl1	Rat
Liver	Igfbp4	Rat
Ileum	Ccr7	Rat
Brain	Nrgn	Rat
Colon	Car1	Rat
Liver	Fgl1	Rat
Pancreas	Cpa1	Rat
Brain	Gpm6a	Rat
Brain	Scg3	Rat
Brain	Spryd3	Rat
Brain	Mpped1	Rat
Kidney	4931406C07Rik	Rat
Liver	Cpb2	Rat
Liver	Slc7a2	Rat
Ileum	Laptm5	Rat
Duodenum	Papss2	Rat
Jejunum	Papss2	Rat
Brain	Ank2	Rat
Liver	Serpina11	Rat
Brain	Clstn3	Rat
Brain	Sv2b	Rat
Kidney	Acy1	Rat
Liver	Gm5096	Rat
Liver	Bhmt	Rat
Quadriceps	Atp1b2	Rat
Brain	Atp1b2	Rat
Kidney	Inmt	Rat
Liver	Masp2	Rat
Liver	Sult1c1	Rat
Brain	Lgi3	Rat
Liver	Mat1a	Rat
Stomach	Furin	Rat
Esophagus	Acsbg1	Rat
Brain	Acsbg1	Rat
Esophagus	Pitx1	Rat
Brain	Aldoc	Rat
Liver	Ppp1r3b	Rat
Liver	Angptl8	Rat
Brain	Kcnab2	Rat
Duodenum	Slc15a1	Rat
Jejunum	Slc15a1	Rat
Ileum	Slc15a1	Rat
Liver	Tdo2	Rat
Brain	Stmn2	Rat
Liver	Mbl1	Rat
Brain	Grin1	Rat
Liver	Tmem205	Rat
Brain	Ncdn	Rat
Esophagus	S100a4	Rat
Brain	Map2	Rat
Liver	Aadat	Rat
Kidney	Aadat	Rat
Kidney	Atp6v1b2	Rat
Brain	Atp6v1b2	Rat
Heart	Rrad	Rat
Stomach	Krt23	Rat
Esophagus	Krt23	Rat
Liver	Cp	Rat
Ileum	Cd79b	Rat
Brain	Snx10	Rat
Pancreas	Ins1	Rat
Brain	Prkcb	Rat
Esophagus	Col17a1	Rat
Liver	Glyat	Rat
Kidney	Glyat	Rat
Brain	Plppr2	Rat
Heart	Lpl	Rat
